"","pA-0%","pA-25%","pA-50%","pA-75%","pA-100%","pB-0%","pB-25%","pB-50%","pB-75%","pB-100%","pN-0%","pN-25%","pN-50%","pN-75%","pN-100%","CurrentLabel","NextLabel"
"4324",0.441860465116279,0.575342465753425,0.666666666666667,0.682926829268293,0.714285714285714,0.166666666666667,0.204081632653061,0.26027397260274,0.268292682926829,0.465116279069767,0.0487804878048781,0.0816326530612245,0.0930232558139535,0.164383561643836,0.166666666666667,2,0
"4325",0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,0.222222222222222,2,2
"4326",0.444444444444444,0.454545454545455,0.565697674418605,0.596836847946726,0.638888888888889,0.176470588235294,0.254360465116279,0.340094339622641,0.371017871017871,0.454545454545455,0.0471698113207547,0.0977272727272727,0.136752136752137,0.167547568710359,0.235294117647059,2,1
"4327",0.444444444444444,0.456597222222222,0.46875,0.574652777777778,0.680555555555556,0.291666666666667,0.341145833333333,0.390625,0.473090277777778,0.555555555555556,0,0.0138888888888889,0.0277777777777778,0.0842013888888889,0.140625,2,1
"4328",0.444444444444444,0.458333333333333,0.472222222222222,0.486111111111111,0.5,0,0.0833333333333333,0.166666666666667,0.25,0.333333333333333,0.222222222222222,0.291666666666667,0.361111111111111,0.430555555555556,0.5,2,2
"4329",0.444444444444444,0.483416252072968,0.522388059701492,0.550667714061273,0.578947368421053,0.222222222222222,0.242690058479532,0.263157894736842,0.310683424980361,0.358208955223881,0.119402985074627,0.138648860958366,0.157894736842105,0.245614035087719,0.333333333333333,2,2
"4330",0.444444444444444,0.485380116959064,0.526315789473684,0.728675136116152,0.931034482758621,0.0689655172413793,0.0900383141762452,0.111111111111111,0.187134502923977,0.263157894736842,0,0.105263157894737,0.210526315789474,0.327485380116959,0.444444444444444,2,2
"4331",0.444444444444444,0.5,0.555555555555556,0.611111111111111,0.666666666666667,0.111111111111111,0.133333333333333,0.155555555555556,0.177777777777778,0.2,0.133333333333333,0.211111111111111,0.288888888888889,0.366666666666667,0.444444444444444,2,0
"4332",0.444444444444444,0.5,0.555555555555556,0.611111111111111,0.666666666666667,0.333333333333333,0.361111111111111,0.388888888888889,0.416666666666667,0.444444444444444,0,0.0277777777777778,0.0555555555555556,0.0833333333333333,0.111111111111111,0,2
"4333",0.444444444444444,0.5,0.56531914893617,0.788235294117647,0.9,0.0384615384615385,0.108333333333333,0.198235294117647,0.334042553191489,0.489583333333333,0,0.0372242647058824,0.0697115384615385,0.1825,0.444444444444444,0,1
"4334",0.444444444444444,0.5,0.56531914893617,0.788235294117647,0.9,0.0384615384615385,0.108333333333333,0.198235294117647,0.334042553191489,0.489583333333333,0,0.0372242647058824,0.0697115384615385,0.1825,0.444444444444444,1,2
"4335",0.444444444444444,0.5,0.56531914893617,0.788235294117647,0.9,0.0384615384615385,0.108333333333333,0.198235294117647,0.334042553191489,0.489583333333333,0,0.0372242647058824,0.0697115384615385,0.1825,0.444444444444444,2,0
"4336",0.444444444444444,0.503472222222222,0.5625,0.677083333333333,0.791666666666667,0.166666666666667,0.21875,0.270833333333333,0.331997863247863,0.393162393162393,0.0416666666666667,0.102029914529915,0.162393162393162,0.164529914529915,0.166666666666667,1,0
"4337",0.444444444444444,0.506944444444444,0.555555555555556,0.639423076923077,0.807692307692308,0.111111111111111,0.172008547008547,0.283653846153846,0.392361111111111,0.444444444444444,0,0.0208333333333333,0.0347222222222222,0.142361111111111,0.444444444444444,0,0
